permno,caldt,ticker,prc,ret,me,analysts
91836,2020-07-31,AVNW,20.5,0.123288,110.7,2.0
91836,2020-08-31,AVNW,21.68,0.057561,117.11536,2.0
91836,2020-09-30,AVNW,21.96,0.012915,119.08908,2.0
91836,2020-10-30,AVNW,18.51,-0.157104,101.08311000000002,2.0
91836,2020-11-30,AVNW,36.12,0.951378,197.25131999999996,2.0
91836,2020-12-31,AVNW,34.15,-0.05454,190.0106,2.0
91849,2020-01-31,BR,119.15,-0.035535,13678.777450000001,6.0
91849,2020-02-28,BR,104.36,-0.124129,11980.84108,8.0
91849,2020-03-31,BR,94.83,-0.086144,10886.76849,9.0
91849,2020-04-30,BR,116.0,0.223242,13317.148,9.0
91849,2020-05-29,BR,121.1,0.043966,13904.338699999998,9.0
91849,2020-06-30,BR,126.19,0.046491,14488.757230000001,8.0
91849,2020-07-31,BR,134.34,0.064585,15424.515780000002,8.0
91849,2020-08-31,BR,137.39999,0.022778,15823.25764838,8.0
91849,2020-09-30,BR,132.0,-0.035116,15201.384,8.0
91849,2020-10-30,BR,137.60001,0.042424,15909.175556189999,8.0
91849,2020-11-30,BR,146.88,0.067442,16982.11872,7.0
91849,2020-12-31,BR,153.2,0.046943,17712.830799999996,7.0
91854,2020-01-31,UFS,34.82,-0.089435,1994.24586,12.0
91854,2020-02-28,UFS,28.77,-0.173751,1618.9742099999999,11.0
91854,2020-03-31,UFS,21.64,-0.247828,1217.74772,11.0
91854,2020-04-30,UFS,23.36,0.100508,1289.2384,11.0
91854,2020-05-29,UFS,20.4,-0.126712,1125.9167999999997,9.0
91854,2020-06-30,UFS,21.11,0.034804,1165.10312,10.0
91854,2020-07-31,UFS,20.99,-0.005685,1158.4800799999998,10.0
91854,2020-08-31,UFS,28.52,0.358742,1574.1043599999998,10.0
91854,2020-09-30,UFS,26.27,-0.078892,1449.9201099999998,10.0
91854,2020-10-30,UFS,23.88,-0.090978,1318.0088399999997,12.0
91854,2020-11-30,UFS,30.1,0.260469,1661.3695,10.0
91854,2020-12-31,UFS,31.65,0.051495,1746.92175,10.0
91855,2020-01-31,SFNC,23.98,-0.10489,2724.8234199999997,3.0
91855,2020-02-28,SFNC,21.38,-0.108424,2421.94778,6.0
91855,2020-03-31,SFNC,18.4,-0.131431,2004.9743999999998,6.0
91855,2020-04-30,SFNC,18.7,0.016304,2037.6642,6.0
91855,2020-05-29,SFNC,17.15,-0.082888,1868.8183499999998,6.0
91855,2020-06-30,SFNC,17.11,0.00758,1864.8873399999998,6.0
91855,2020-07-31,SFNC,16.59,-0.030392,1808.21046,6.0
91855,2020-08-31,SFNC,17.07,0.028933,1860.9031200000002,6.0
91855,2020-09-30,SFNC,15.855,-0.061219,1728.57552,6.0
91855,2020-10-30,SFNC,16.99,0.071586,1852.3177599999997,6.0
91855,2020-11-30,SFNC,19.5,0.147734,2122.497,6.0
91855,2020-12-31,SFNC,21.59,0.115897,2333.40402,6.0
91893,2020-01-31,FNJN,1.9,-0.054726,52.63,1.0
91893,2020-02-28,FNJN,1.68,-0.115789,46.536,1.0
91893,2020-03-31,FNJN,1.0,-0.404762,27.686,1.0
91893,2020-04-30,FNJN,1.21,0.21,33.50006,1.0
91893,2020-05-29,FNJN,1.3401,0.107521,37.1247903,1.0
91893,2020-06-30,FNJN,1.54,0.149168,42.662620000000004,1.0
91900,2020-01-31,GLUU,5.9,-0.024793,871.8902,5.0
